timestamp	value
2021-04-11	260949
2021-04-17	190870
2021-04-20	180707
2021-04-24	206068
2021-04-29	199772
2021-05-09	227190
2021-05-10	222228
2021-05-22	171563
2021-05-24	153730
2021-05-24	316564
2021-05-24	204613
2021-05-25	177996
2021-05-26	280670
2021-05-29	382990
2021-05-31	253122
2021-06-01	330523
2021-06-02	188949
2021-06-04	234958
2021-06-05	201800
2021-06-12	238643
2021-06-12	342616
2021-06-17	374095
2021-06-20	221069
2021-06-23	401581
2021-06-28	380828
2021-07-01	296407
2021-07-05	136435
2021-07-06	215066
2021-07-08	269864
2021-07-10	225115
2021-07-13	265788
2021-07-14	205081
2021-07-17	238462
2021-07-24	350601
2021-07-28	211750
2021-08-02	385562
2021-08-03	310923
2021-08-03	197491
2021-08-04	235304
2021-08-09	203370
2021-08-17	261803
2021-08-24	226226
2021-08-24	243725
2021-08-28	147369
2021-08-31	225454
2021-09-03	111122
2021-09-05	222266
2021-09-07	376901
2021-09-07	192514
2021-09-16	253842
2021-09-20	220171
2021-09-23	271438
2021-09-29	223790
2021-09-29	228550
2021-09-30	189317
2021-10-02	262974
2021-10-03	186881
2021-10-06	217921
2021-10-10	257532
2021-10-14	236979
2021-10-22	189282
2021-10-23	243183
2021-10-23	201237
2021-10-27	150946
2021-10-28	179444
2021-11-05	242735
2021-11-06	265292
2021-11-07	306211
2021-11-10	246135
2021-11-13	179408
2021-11-17	228481
2021-11-25	173474
2021-11-26	271720
2021-11-27	257631
2021-11-29	224447
2021-12-02	212231
2021-12-05	284128
2021-12-08	324369
2021-12-10	309843
2021-12-11	180827
2021-12-16	198359
2021-12-19	263633
2021-12-20	199228
2021-12-22	338165
2021-12-23	204355
2022-01-01	244367
2022-01-02	219709
2022-01-04	226385
2022-01-04	205074
2022-01-04	304221
2022-01-20	255515
2022-01-22	311144
2022-01-23	203967
2022-01-26	151555
2022-01-29	246438
2022-02-07	276895
2022-02-12	295118
2022-02-13	212475
2022-02-17	194097
2022-02-17	205008
2022-02-20	157145
2022-02-21	423686
2022-02-22	293887
2022-02-25	236547
2022-02-28	303272
2022-03-05	368327
2022-03-07	223529
2022-03-09	190916
2022-03-09	305506
2022-03-11	308924
2022-03-11	282713
2022-03-12	247566
2022-03-13	228890
2022-03-20	354935
2022-03-28	387622
2022-04-02	271404
2022-04-04	313042
2022-04-06	190930
2022-04-07	248368
2022-04-08	258245
2022-04-21	226649
2022-04-21	236250
2022-04-22	350640
2022-04-25	155281
2022-04-26	270441
2022-05-01	209490
2022-05-01	197360
2022-05-06	182323
2022-05-06	153582
2022-05-07	244953
2022-05-09	168932
2022-05-20	274375
2022-05-20	196722
2022-05-21	346417
2022-05-24	244460
2022-06-11	225403
2022-06-12	258649
2022-06-14	308605
2022-06-15	191487
2022-06-16	242855
2022-06-24	240471
2022-06-26	205434
2022-06-29	271602
2022-06-30	358168
2022-06-30	344180
2022-07-03	246340
2022-07-11	296426
2022-07-13	204794
2022-07-14	235315
2022-07-14	205504
2022-07-18	178452
2022-07-19	177882
2022-07-23	256138
2022-07-24	157848
2022-07-31	227497
2022-08-04	212199
2022-08-04	158394
2022-08-06	125660
2022-08-07	232322
2022-08-12	353059
2022-08-15	182672
2022-08-18	370200
2022-08-22	295106
2022-08-27	225353
2022-08-31	196697
2022-09-01	317070
2022-09-04	216543
2022-09-09	284329
2022-09-11	235541
2022-09-21	258515
2022-09-22	314846
2022-09-25	213552
2022-09-26	273209
2022-09-27	151222
2022-09-28	344958
2022-10-01	322268
2022-10-03	201552
2022-10-04	229474
2022-10-07	174246
2022-10-08	241243
2022-10-09	219245
2022-10-12	253161
2022-10-15	220342
2022-10-20	195621
2022-10-24	153770
2022-11-12	280386
2022-11-13	307205
2022-11-13	217472
2022-11-15	340459
2022-11-15	223432
2022-11-18	309152
2022-11-21	239834
2022-11-21	182304
2022-11-28	156553
2022-11-29	325879
2022-12-01	205360
2022-12-02	227056
2022-12-05	241967
2022-12-08	206303
2022-12-09	309201
2022-12-12	195949
2022-12-13	258113
2022-12-15	221427
2022-12-24	286426
2022-12-26	183160
2023-01-04	215150
2023-01-06	369326
2023-01-10	357358
2023-01-17	272778
2023-01-19	218184
2023-01-19	236108
2023-01-21	235448
2023-01-23	280532
2023-01-24	225530
2023-01-28	286400
2023-02-03	225242
2023-02-06	268888
2023-02-10	247777
2023-02-13	243035
2023-02-16	165776
2023-02-20	198542
2023-02-22	185706
2023-02-24	352433
2023-02-27	220690
2023-02-28	253263
2023-03-01	222443
2023-03-06	212562
2023-03-07	269322
2023-03-08	195683
2023-03-08	213116
2023-03-20	209744
2023-03-23	243646
2023-03-27	379961
2023-03-28	204356
2023-03-31	315601
2023-04-10	187794
2023-04-13	263009
2023-04-13	217939
2023-04-14	160362
2023-04-15	294741
2023-04-16	170856
2023-04-20	258912
2023-04-21	279549
2023-04-23	298863
2023-04-27	170680
2023-05-03	168777
2023-05-08	257778
2023-05-12	250145
2023-05-13	182195
2023-05-14	289396
2023-05-18	246664
2023-05-24	250411
2023-05-25	269637
2023-05-25	226549
2023-05-28	250668
2023-06-03	178455
2023-06-04	236757
2023-06-06	303205
2023-06-14	251850
2023-06-15	183301
2023-06-18	282730
2023-06-18	250906
2023-06-21	249132
2023-06-26	181681
2023-06-27	274643
2023-07-02	204746
2023-07-04	229141
2023-07-05	210315
2023-07-07	268325
2023-07-08	239630
2023-07-09	274727
2023-07-14	259698
2023-07-16	243982
2023-07-18	224320
2023-07-25	194708
2023-08-04	229230
2023-08-06	179530
2023-08-14	217903
2023-08-15	250283
2023-08-15	176714
2023-08-24	208146
2023-08-25	181484
2023-08-26	225732
2023-08-29	202885
2023-08-30	209844
2023-09-04	278206
2023-09-10	329845
2023-09-10	338143
2023-09-12	174260
2023-09-15	204576
2023-09-19	255591
2023-09-21	324503
2023-09-28	255815
2023-09-28	307248
2023-09-28	308792
2023-10-01	243681
2023-10-02	212026
2023-10-10	186963
2023-10-11	227321
2023-10-12	236417
2023-10-16	328381
2023-10-18	219683
2023-10-27	286707
2023-10-29	241934
2023-10-31	187153
2023-11-01	284849
2023-11-05	318889
2023-11-06	189536
2023-11-06	410826
2023-11-07	296407
2023-11-17	314013
2023-11-19	160275
2023-11-24	342617
2023-11-28	237106
2023-11-30	185447
2023-12-02	254844
2023-12-10	218391
2023-12-11	193826
2023-12-11	247549
2023-12-14	243025
2023-12-15	412885
2023-12-21	276876
2023-12-23	185708
2023-12-26	184971
2023-12-26	243118
2024-01-03	295584
2024-01-10	168535
2024-01-13	359520
2024-01-15	292342
2024-01-17	185484
2024-01-23	181490
2024-01-25	293126
2024-01-27	234246
2024-01-28	352311
2024-01-28	163930
2024-02-08	175582
2024-02-08	190975
2024-02-13	216898
2024-02-18	268620
2024-02-19	314202
2024-02-19	253278
2024-02-22	316152
2024-02-22	310142
2024-02-23	197847
2024-02-23	261211
2024-03-06	228585
2024-03-15	178372
